Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000176,27,17
ClassicQuicksort,10,1,1,True,17,0.000048,35,27
ClassicQuicksort,10,2,1,False,10,0.000184,23,26
ClassicQuicksort,10,2,1,True,17,0.000056,35,27
ClassicQuicksort,10,3,1,False,10,0.000175,27,18
ClassicQuicksort,10,3,1,True,17,0.000055,35,27
DualPivotQuicksort,10,1,2,False,10,0.000160,33,19
DualPivotQuicksort,10,1,2,True,17,0.000055,35,27
OptimalDualPivotQuicksort,10,1,2,False,10,0.000690,33,19
OptimalDualPivotQuicksort,10,1,2,True,17,0.000041,35,27
DualPivotQuicksort,10,2,2,False,10,0.000104,36,23
DualPivotQuicksort,10,2,2,True,17,0.000035,35,27
OptimalDualPivotQuicksort,10,2,2,False,10,0.000144,36,23
OptimalDualPivotQuicksort,10,2,2,True,17,0.000050,35,27
YaroslavskiyQuicksort,10,1,2,True,17,0.000049,35,27
ThreePivotQuicksort,10,1,3,True,13,0.000893,35,27
MPivotQuicksort,10,1,3,True,13,0.000036,35,27
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000036,35,27
MPivotQuicksort,10,1,4,True,13,0.000035,35,27
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000037,35,27
MPivotQuicksort,10,1,5,True,13,0.000037,35,27
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000040,35,27
MPivotQuicksort,10,1,6,True,13,0.000036,35,27
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000035,35,27
ClassicQuicksort,1007,1,1,False,10,0.000656,10528,5812
ClassicQuicksort,1007,1,1,True,17,0.000532,11407,6878
ClassicQuicksort,1007,2,1,False,10,0.000898,11066,7097
ClassicQuicksort,1007,2,1,True,17,0.000633,11922,7688
ClassicQuicksort,1007,3,1,False,10,0.000542,10248,6062
ClassicQuicksort,1007,3,1,True,17,0.000649,10542,6425
DualPivotQuicksort,1007,1,2,False,10,0.002083,10696,4539
DualPivotQuicksort,1007,1,2,True,17,0.000984,10966,5095
OptimalDualPivotQuicksort,1007,1,2,False,10,0.002946,10547,4539
OptimalDualPivotQuicksort,1007,1,2,True,17,0.001245,10827,5095
DualPivotQuicksort,1007,2,2,False,10,0.001405,11019,5321
DualPivotQuicksort,1007,2,2,True,17,0.000839,10731,5347
OptimalDualPivotQuicksort,1007,2,2,False,10,0.003465,10913,5321
OptimalDualPivotQuicksort,1007,2,2,True,17,0.005068,10619,5347
YaroslavskiyQuicksort,1007,1,2,True,17,0.063624,11392,4978
ThreePivotQuicksort,1007,1,3,True,13,0.020699,14443,4789
MPivotQuicksort,1007,1,3,True,13,0.024042,11912,5240
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.002776,15310,6869
MPivotQuicksort,1007,1,4,True,13,0.001242,12891,5322
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.001683,15262,6437
MPivotQuicksort,1007,1,5,True,13,0.001466,13987,6180
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.002004,16116,6436
MPivotQuicksort,1007,1,6,True,13,0.001904,14413,5834
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.002300,15845,6373
ClassicQuicksort,104,1,1,False,10,0.003063,672,446
ClassicQuicksort,104,1,1,True,17,0.000416,714,505
ClassicQuicksort,104,2,1,False,10,0.001158,666,468
ClassicQuicksort,104,2,1,True,17,0.000482,786,560
ClassicQuicksort,104,3,1,False,10,0.005309,754,481
ClassicQuicksort,104,3,1,True,17,0.000558,779,537
DualPivotQuicksort,104,1,2,False,10,0.000981,701,326
DualPivotQuicksort,104,1,2,True,17,0.000503,720,391
OptimalDualPivotQuicksort,104,1,2,False,10,0.019381,691,326
OptimalDualPivotQuicksort,104,1,2,True,17,0.000697,709,391
DualPivotQuicksort,104,2,2,False,10,0.001351,733,420
DualPivotQuicksort,104,2,2,True,17,0.000623,722,445
OptimalDualPivotQuicksort,104,2,2,False,10,0.003157,728,420
OptimalDualPivotQuicksort,104,2,2,True,17,0.000732,715,445
YaroslavskiyQuicksort,104,1,2,True,17,0.001077,691,396
ThreePivotQuicksort,104,1,3,True,13,0.012379,848,371
MPivotQuicksort,104,1,3,True,13,0.002587,773,401
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.003461,982,529
MPivotQuicksort,104,1,4,True,13,0.000850,838,390
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.002527,1010,468
MPivotQuicksort,104,1,5,True,13,0.000604,993,435
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.001282,1191,508
MPivotQuicksort,104,1,6,True,13,0.000773,966,525
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.008567,1093,530
ClassicQuicksort,11004838,1,1,False,10,52.380857,319028730,161265175
ClassicQuicksort,11004838,1,1,True,17,44.969284,326848974,170470083
ClassicQuicksort,11004838,2,1,False,10,42.325052,335534479,182807431
ClassicQuicksort,11004838,2,1,True,17,38.108263,343378793,187694080
ClassicQuicksort,11004838,3,1,False,10,59.001005,290289784,155796819
ClassicQuicksort,11004838,3,1,True,17,69.837360,293028514,159107883
DualPivotQuicksort,11004838,1,2,False,10,23.431173,315896912,110351637
DualPivotQuicksort,11004838,1,2,True,17,22.434957,319474422,117207612
OptimalDualPivotQuicksort,11004838,1,2,False,10,29.622160,307111598,110351637
OptimalDualPivotQuicksort,11004838,1,2,True,17,25.145433,310871204,117207612
DualPivotQuicksort,11004838,2,2,False,10,26.083199,293929061,109601526
DualPivotQuicksort,11004838,2,2,True,17,21.762107,290932195,110501291
OptimalDualPivotQuicksort,11004838,2,2,False,10,29.577236,287343512,109601526
OptimalDualPivotQuicksort,11004838,2,2,True,17,27.213873,284287663,110501291
YaroslavskiyQuicksort,11004838,1,2,True,17,46.644416,291556428,110511853
ThreePivotQuicksort,11004838,1,3,True,13,27.210849,404304318,114209706
MPivotQuicksort,11004838,1,3,True,13,30.255116,322279316,120441172
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,45.454572,432275994,175703495
MPivotQuicksort,11004838,1,4,True,13,30.216459,337867710,117079145
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,49.416799,432749741,160266159
MPivotQuicksort,11004838,1,5,True,13,34.275051,359347731,112493732
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,48.527266,445537499,149788901
MPivotQuicksort,11004838,1,6,True,13,28.897706,382138082,111673966
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,33.766392,461601473,144780357
ClassicQuicksort,1146260,1,1,False,10,5.981659,28561415,14509819
ClassicQuicksort,1146260,1,1,True,17,7.262028,29377515,15469166
ClassicQuicksort,1146260,2,1,False,10,4.530319,31102697,16945243
ClassicQuicksort,1146260,2,1,True,17,4.722870,31915790,17451001
ClassicQuicksort,1146260,3,1,False,10,3.417068,25781903,14107247
ClassicQuicksort,1146260,3,1,True,17,4.266004,26067633,14452885
DualPivotQuicksort,1146260,1,2,False,10,2.960511,28102341,9722128
DualPivotQuicksort,1146260,1,2,True,17,2.572678,28478009,10440994
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.889196,27337892,9722128
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.890210,27732538,10440994
DualPivotQuicksort,1146260,2,2,False,10,2.676073,26077079,10021785
DualPivotQuicksort,1146260,2,2,True,17,2.364165,25767887,10117741
OptimalDualPivotQuicksort,1146260,2,2,False,10,3.231434,25574734,10021785
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.481180,25259630,10117741
YaroslavskiyQuicksort,1146260,1,2,True,17,6.584015,26208886,10114551
ThreePivotQuicksort,1146260,1,3,True,13,2.364996,35802262,10275175
MPivotQuicksort,1146260,1,3,True,13,2.160634,28535653,10945951
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.927186,38657186,15415650
MPivotQuicksort,1146260,1,4,True,13,3.029952,30854446,10590274
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.424887,39604918,14510559
MPivotQuicksort,1146260,1,5,True,13,3.400793,32319210,10568055
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.515262,39108385,13694937
MPivotQuicksort,1146260,1,6,True,13,2.998566,34675959,10453150
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.009064,40483994,13272965
ClassicQuicksort,119394,1,1,False,10,0.387891,2548133,1440872
ClassicQuicksort,119394,1,1,True,17,0.460876,2631701,1541054
ClassicQuicksort,119394,2,1,False,10,0.286118,2387184,1348524
ClassicQuicksort,119394,2,1,True,17,0.266949,2471480,1400719
ClassicQuicksort,119394,3,1,False,10,0.556967,2210329,1257883
ClassicQuicksort,119394,3,1,True,17,0.428515,2240266,1294109
DualPivotQuicksort,119394,1,2,False,10,0.262664,2325321,912565
DualPivotQuicksort,119394,1,2,True,17,0.245890,2362974,985192
OptimalDualPivotQuicksort,119394,1,2,False,10,0.333468,2277912,912565
OptimalDualPivotQuicksort,119394,1,2,True,17,0.284717,2317535,985192
DualPivotQuicksort,119394,2,2,False,10,0.225495,2246149,887057
DualPivotQuicksort,119394,2,2,True,17,0.180557,2214402,897637
OptimalDualPivotQuicksort,119394,2,2,False,10,0.297729,2198184,887057
OptimalDualPivotQuicksort,119394,2,2,True,17,0.215512,2165737,897637
YaroslavskiyQuicksort,119394,1,2,True,17,1.120757,2254112,904939
ThreePivotQuicksort,119394,1,3,True,13,0.427268,3103094,923191
MPivotQuicksort,119394,1,3,True,13,0.340536,2555752,968474
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.490599,3335482,1363085
MPivotQuicksort,119394,1,4,True,13,0.307408,2602487,981304
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.421872,3331451,1284266
MPivotQuicksort,119394,1,5,True,13,0.269404,2743499,947132
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.420700,3426021,1251086
MPivotQuicksort,119394,1,6,True,13,0.308714,2898795,969226
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.494986,3501228,1193193
ClassicQuicksort,12436,1,1,False,10,0.042554,185133,99339
ClassicQuicksort,12436,1,1,True,17,0.035910,193565,109516
ClassicQuicksort,12436,2,1,False,10,0.029623,192694,106474
ClassicQuicksort,12436,2,1,True,17,0.032346,200792,111205
ClassicQuicksort,12436,3,1,False,10,0.034186,180809,98985
ClassicQuicksort,12436,3,1,True,17,0.015893,183728,102513
DualPivotQuicksort,12436,1,2,False,10,0.021663,189027,74589
DualPivotQuicksort,12436,1,2,True,17,0.005477,192685,82011
OptimalDualPivotQuicksort,12436,1,2,False,10,0.018137,184995,74589
OptimalDualPivotQuicksort,12436,1,2,True,17,0.008330,188877,82011
DualPivotQuicksort,12436,2,2,False,10,0.018164,192398,79489
DualPivotQuicksort,12436,2,2,True,17,0.015940,188605,79969
OptimalDualPivotQuicksort,12436,2,2,False,10,0.036319,187083,79489
OptimalDualPivotQuicksort,12436,2,2,True,17,0.008038,183212,79969
YaroslavskiyQuicksort,12436,1,2,True,17,0.090974,184870,81266
ThreePivotQuicksort,12436,1,3,True,13,0.060450,258035,83714
MPivotQuicksort,12436,1,3,True,13,0.023842,200745,84078
HeapOptimizedMPivotQuicksort,12436,1,3,True,13,0.030043,265649,117005
MPivotQuicksort,12436,1,4,True,13,0.018599,218797,83404
HeapOptimizedMPivotQuicksort,12436,1,4,True,13,0.035217,272433,108302
MPivotQuicksort,12436,1,5,True,13,0.016050,231223,84223
HeapOptimizedMPivotQuicksort,12436,1,5,True,13,0.017851,283259,102405
MPivotQuicksort,12436,1,6,True,13,0.019641,234219,87939
HeapOptimizedMPivotQuicksort,12436,1,6,True,13,0.018944,290451,102481
ClassicQuicksort,1295,1,1,False,10,0.000538,14791,7424
ClassicQuicksort,1295,1,1,True,17,0.000656,15583,8391
ClassicQuicksort,1295,2,1,False,10,0.000856,15413,9227
ClassicQuicksort,1295,2,1,True,17,0.001022,16353,9781
ClassicQuicksort,1295,3,1,False,10,0.000652,13714,8133
ClassicQuicksort,1295,3,1,True,17,0.002125,14098,8576
DualPivotQuicksort,1295,1,2,False,10,0.001279,14441,6116
DualPivotQuicksort,1295,1,2,True,17,0.000554,14873,6916
OptimalDualPivotQuicksort,1295,1,2,False,10,0.001762,14251,6116
OptimalDualPivotQuicksort,1295,1,2,True,17,0.003953,14700,6916
DualPivotQuicksort,1295,2,2,False,10,0.003613,14540,6472
DualPivotQuicksort,1295,2,2,True,17,0.000710,14303,6661
OptimalDualPivotQuicksort,1295,2,2,False,10,0.002199,14342,6472
OptimalDualPivotQuicksort,1295,2,2,True,17,0.000774,14101,6661
YaroslavskiyQuicksort,1295,1,2,True,17,0.009698,14884,6146
ThreePivotQuicksort,1295,1,3,True,13,0.008155,20071,6667
MPivotQuicksort,1295,1,3,True,13,0.000999,16419,6986
HeapOptimizedMPivotQuicksort,1295,1,3,True,13,0.002485,21838,9406
MPivotQuicksort,1295,1,4,True,13,0.003098,16921,7299
HeapOptimizedMPivotQuicksort,1295,1,4,True,13,0.001564,20517,8571
MPivotQuicksort,1295,1,5,True,13,0.001773,19966,6722
HeapOptimizedMPivotQuicksort,1295,1,5,True,13,0.002059,22038,8288
MPivotQuicksort,1295,1,6,True,13,0.001238,20372,7464
HeapOptimizedMPivotQuicksort,1295,1,6,True,13,0.002100,21618,8461
ClassicQuicksort,134,1,1,False,10,0.000898,881,515
ClassicQuicksort,134,1,1,True,17,0.000988,1006,672
ClassicQuicksort,134,2,1,False,10,0.000865,958,651
ClassicQuicksort,134,2,1,True,17,0.000729,1025,693
ClassicQuicksort,134,3,1,False,10,0.016386,923,580
ClassicQuicksort,134,3,1,True,17,0.000579,970,641
DualPivotQuicksort,134,1,2,False,10,0.001255,953,421
DualPivotQuicksort,134,1,2,True,17,0.001827,988,512
OptimalDualPivotQuicksort,134,1,2,False,10,0.001800,939,421
OptimalDualPivotQuicksort,134,1,2,True,17,0.001038,973,512
DualPivotQuicksort,134,2,2,False,10,0.017213,1030,484
DualPivotQuicksort,134,2,2,True,17,0.000577,1009,512
OptimalDualPivotQuicksort,134,2,2,False,10,0.002077,1017,484
OptimalDualPivotQuicksort,134,2,2,True,17,0.018444,994,512
YaroslavskiyQuicksort,134,1,2,True,17,0.015096,1028,594
ThreePivotQuicksort,134,1,3,True,13,0.002949,1255,525
MPivotQuicksort,134,1,3,True,13,0.015992,1055,551
HeapOptimizedMPivotQuicksort,134,1,3,True,13,0.016415,1464,730
MPivotQuicksort,134,1,4,True,13,0.001758,1161,521
HeapOptimizedMPivotQuicksort,134,1,4,True,13,0.012621,1352,646
MPivotQuicksort,134,1,5,True,13,0.000992,1233,581
HeapOptimizedMPivotQuicksort,134,1,5,True,13,0.003559,1560,596
MPivotQuicksort,134,1,6,True,13,0.000926,1308,593
HeapOptimizedMPivotQuicksort,134,1,6,True,13,0.001099,1501,622
ClassicQuicksort,14,1,1,False,10,0.000221,36,28
ClassicQuicksort,14,1,1,True,17,0.000151,69,60
ClassicQuicksort,14,2,1,False,10,0.000542,39,29
ClassicQuicksort,14,2,1,True,17,0.000204,69,60
ClassicQuicksort,14,3,1,False,10,0.000378,47,36
ClassicQuicksort,14,3,1,True,17,0.000162,69,60
DualPivotQuicksort,14,1,2,False,10,0.000615,43,26
DualPivotQuicksort,14,1,2,True,17,0.000427,69,60
OptimalDualPivotQuicksort,14,1,2,False,10,0.001277,43,26
OptimalDualPivotQuicksort,14,1,2,True,17,0.000384,69,60
DualPivotQuicksort,14,2,2,False,10,0.000431,61,39
DualPivotQuicksort,14,2,2,True,17,0.000330,69,60
OptimalDualPivotQuicksort,14,2,2,False,10,0.003025,61,39
OptimalDualPivotQuicksort,14,2,2,True,17,0.000312,69,60
YaroslavskiyQuicksort,14,1,2,True,17,0.000738,69,60
ThreePivotQuicksort,14,1,3,True,13,0.000773,69,34
MPivotQuicksort,14,1,3,True,13,0.000693,67,36
HeapOptimizedMPivotQuicksort,14,1,3,True,13,0.000781,69,35
MPivotQuicksort,14,1,4,True,13,0.000951,76,57
HeapOptimizedMPivotQuicksort,14,1,4,True,13,0.001439,84,50
MPivotQuicksort,14,1,5,True,13,0.002782,86,65
HeapOptimizedMPivotQuicksort,14,1,5,True,13,0.000657,85,57
MPivotQuicksort,14,1,6,True,13,0.000452,93,79
HeapOptimizedMPivotQuicksort,14,1,6,True,13,0.002813,81,59
ClassicQuicksort,14149078,1,1,False,10,84.132214,415984070,223598126
ClassicQuicksort,14149078,1,1,True,17,93.274501,426079334,235478125
ClassicQuicksort,14149078,2,1,False,10,63.026289,420915409,227940675
ClassicQuicksort,14149078,2,1,True,17,50.527926,430989088,234225881
ClassicQuicksort,14149078,3,1,False,10,51.240719,378018048,209041179
ClassicQuicksort,14149078,3,1,True,17,64.168707,381550661,213300860
DualPivotQuicksort,14149078,1,2,False,10,37.375114,408804504,142086875
DualPivotQuicksort,14149078,1,2,True,17,34.685543,413379841,150870635
OptimalDualPivotQuicksort,14149078,1,2,False,10,45.927549,398906016,142086875
OptimalDualPivotQuicksort,14149078,1,2,True,17,40.810916,403714905,150870635
DualPivotQuicksort,14149078,2,2,False,10,44.363705,380911242,144913078
DualPivotQuicksort,14149078,2,2,True,17,32.627942,377062203,146075043
OptimalDualPivotQuicksort,14149078,2,2,False,10,38.551712,372586633,144913078
OptimalDualPivotQuicksort,14149078,2,2,True,17,22.436544,368665688,146075043
YaroslavskiyQuicksort,14149078,1,2,True,17,37.251897,380669246,151440872
ThreePivotQuicksort,14149078,1,3,True,13,30.001166,537089530,153105569
MPivotQuicksort,14149078,1,3,True,13,28.377684,419785586,158896155
HeapOptimizedMPivotQuicksort,14149078,1,3,True,13,48.770623,565734911,227189065
MPivotQuicksort,14149078,1,4,True,13,39.114238,435687114,153500626
HeapOptimizedMPivotQuicksort,14149078,1,4,True,13,58.899571,566295994,210195979
MPivotQuicksort,14149078,1,5,True,13,49.408703,465761437,149125531
HeapOptimizedMPivotQuicksort,14149078,1,5,True,13,52.011052,592066518,199433401
MPivotQuicksort,14149078,1,6,True,13,38.863299,507836437,146983179
HeapOptimizedMPivotQuicksort,14149078,1,6,True,13,55.525356,606197637,190493709
ClassicQuicksort,1473763,1,1,False,10,4.786094,36624520,19203803
ClassicQuicksort,1473763,1,1,True,17,3.954733,37671514,20439085
ClassicQuicksort,1473763,2,1,False,10,2.914084,37938838,20109505
ClassicQuicksort,1473763,2,1,True,17,3.950734,38985310,20760420
ClassicQuicksort,1473763,3,1,False,10,5.180116,33111013,18461502
ClassicQuicksort,1473763,3,1,True,17,5.255958,33482701,18910840
DualPivotQuicksort,1473763,1,2,False,10,2.896455,36275578,12680969
DualPivotQuicksort,1473763,1,2,True,17,3.446208,36750505,13591022
OptimalDualPivotQuicksort,1473763,1,2,False,10,4.194362,35238626,12680969
OptimalDualPivotQuicksort,1473763,1,2,True,17,3.597312,35737511,13591022
DualPivotQuicksort,1473763,2,2,False,10,2.527546,34414183,13192278
DualPivotQuicksort,1473763,2,2,True,17,2.186691,34007336,13306793
OptimalDualPivotQuicksort,1473763,2,2,False,10,3.018547,33554608,13192278
OptimalDualPivotQuicksort,1473763,2,2,True,17,3.305894,33139578,13306793
YaroslavskiyQuicksort,1473763,1,2,True,17,7.346617,33799614,13223132
ThreePivotQuicksort,1473763,1,3,True,13,2.888751,47003921,13672973
MPivotQuicksort,1473763,1,3,True,13,3.213657,38186786,14314534
HeapOptimizedMPivotQuicksort,1473763,1,3,True,13,6.151470,50851455,20548723
MPivotQuicksort,1473763,1,4,True,13,4.456660,40530540,14064263
HeapOptimizedMPivotQuicksort,1473763,1,4,True,13,6.262188,51212410,18981036
MPivotQuicksort,1473763,1,5,True,13,4.742869,43307002,13936519
HeapOptimizedMPivotQuicksort,1473763,1,5,True,13,5.900777,52233295,17600821
MPivotQuicksort,1473763,1,6,True,13,4.583833,44977033,13860210
HeapOptimizedMPivotQuicksort,1473763,1,6,True,13,5.866878,54047545,17193427
ClassicQuicksort,153506,1,1,False,10,0.543695,3187540,1619075
ClassicQuicksort,153506,1,1,True,17,0.814950,3297456,1747327
ClassicQuicksort,153506,2,1,False,10,0.441319,3268281,1777998
ClassicQuicksort,153506,2,1,True,17,0.479850,3377304,1845812
ClassicQuicksort,153506,3,1,False,10,0.575019,2903255,1608023
ClassicQuicksort,153506,3,1,True,17,0.502669,2939558,1652255
DualPivotQuicksort,153506,1,2,False,10,0.335377,3087634,1158877
DualPivotQuicksort,153506,1,2,True,17,0.319648,3137443,1254524
OptimalDualPivotQuicksort,153506,1,2,False,10,0.395916,2990228,1158877
OptimalDualPivotQuicksort,153506,1,2,True,17,0.352816,3042610,1254524
DualPivotQuicksort,153506,2,2,False,10,0.343437,2978917,1145949
DualPivotQuicksort,153506,2,2,True,17,0.252048,2937698,1159233
OptimalDualPivotQuicksort,153506,2,2,False,10,0.331064,2925177,1145949
OptimalDualPivotQuicksort,153506,2,2,True,17,0.325983,2883287,1159233
YaroslavskiyQuicksort,153506,1,2,True,17,1.331040,3067641,1200616
ThreePivotQuicksort,153506,1,3,True,13,0.335551,4251102,1175036
MPivotQuicksort,153506,1,3,True,13,0.332578,3225084,1301083
HeapOptimizedMPivotQuicksort,153506,1,3,True,13,0.615568,4354446,1850395
MPivotQuicksort,153506,1,4,True,13,0.377832,3445300,1298434
HeapOptimizedMPivotQuicksort,153506,1,4,True,13,0.392335,4620243,1705423
MPivotQuicksort,153506,1,5,True,13,0.285983,3599683,1262772
HeapOptimizedMPivotQuicksort,153506,1,5,True,13,0.304774,4626146,1589678
MPivotQuicksort,153506,1,6,True,13,0.234856,4113045,1240328
HeapOptimizedMPivotQuicksort,153506,1,6,True,13,0.317552,4785889,1551558
ClassicQuicksort,15989,1,1,False,10,0.104267,259077,144666
ClassicQuicksort,15989,1,1,True,17,0.032930,270760,158621
ClassicQuicksort,15989,2,1,False,10,0.047775,252000,135158
ClassicQuicksort,15989,2,1,True,17,0.035623,262667,141365
ClassicQuicksort,15989,3,1,False,10,0.054610,236438,129814
ClassicQuicksort,15989,3,1,True,17,0.024042,240238,134386
DualPivotQuicksort,15989,1,2,False,10,0.017629,251321,91808
DualPivotQuicksort,15989,1,2,True,17,0.017528,256560,101666
OptimalDualPivotQuicksort,15989,1,2,False,10,0.034577,246260,91808
OptimalDualPivotQuicksort,15989,1,2,True,17,0.034634,251773,101666
DualPivotQuicksort,15989,2,2,False,10,0.022000,249015,105542
DualPivotQuicksort,15989,2,2,True,17,0.020341,245293,107702
OptimalDualPivotQuicksort,15989,2,2,False,10,0.036652,246315,105542
OptimalDualPivotQuicksort,15989,2,2,True,17,0.015409,242518,107702
