Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000127,21,15
ClassicQuicksort,10,1,1,True,17,0.000048,35,27
ClassicQuicksort,10,2,1,False,10,0.000207,24,16
ClassicQuicksort,10,2,1,True,17,0.000037,35,27
ClassicQuicksort,10,3,1,False,10,0.000192,31,25
ClassicQuicksort,10,3,1,True,17,0.000096,35,27
DualPivotQuicksort,10,1,2,False,10,0.000444,28,18
DualPivotQuicksort,10,1,2,True,17,0.000038,35,27
OptimalDualPivotQuicksort,10,1,2,False,10,0.000148,27,18
OptimalDualPivotQuicksort,10,1,2,True,17,0.000084,35,27
DualPivotQuicksort,10,2,2,False,10,0.000347,35,27
DualPivotQuicksort,10,2,2,True,17,0.000082,35,27
OptimalDualPivotQuicksort,10,2,2,False,10,0.000304,35,27
OptimalDualPivotQuicksort,10,2,2,True,17,0.000099,35,27
YaroslavskiyQuicksort,10,1,2,True,17,0.000083,35,27
ThreePivotQuicksort,10,1,3,True,13,0.000157,35,27
MPivotQuicksort,10,1,3,True,13,0.000066,35,27
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000060,35,27
MPivotQuicksort,10,1,4,True,13,0.000058,35,27
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000092,35,27
MPivotQuicksort,10,1,5,True,13,0.000060,35,27
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000059,35,27
MPivotQuicksort,10,1,6,True,13,0.000058,35,27
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000058,35,27
ClassicQuicksort,1007,1,1,False,10,0.000555,10331,6107
ClassicQuicksort,1007,1,1,True,17,0.000848,11015,6914
ClassicQuicksort,1007,2,1,False,10,0.001210,10422,6432
ClassicQuicksort,1007,2,1,True,17,0.001795,11036,6753
ClassicQuicksort,1007,3,1,False,10,0.011502,10483,6674
ClassicQuicksort,1007,3,1,True,17,0.002434,10835,7070
DualPivotQuicksort,1007,1,2,False,10,0.011284,10365,4037
DualPivotQuicksort,1007,1,2,True,17,0.000685,10722,4636
OptimalDualPivotQuicksort,1007,1,2,False,10,0.002194,10157,4037
OptimalDualPivotQuicksort,1007,1,2,True,17,0.023021,10525,4636
DualPivotQuicksort,1007,2,2,False,10,0.115784,11249,4922
DualPivotQuicksort,1007,2,2,True,17,0.000822,10907,4860
OptimalDualPivotQuicksort,1007,2,2,False,10,0.002382,11103,4922
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000901,10746,4860
YaroslavskiyQuicksort,1007,1,2,True,17,0.020689,10690,4743
ThreePivotQuicksort,1007,1,3,True,13,0.136306,13691,5071
MPivotQuicksort,1007,1,3,True,13,0.008205,11623,5526
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.015130,16058,6499
MPivotQuicksort,1007,1,4,True,13,0.020069,13029,5697
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.007892,17120,7101
MPivotQuicksort,1007,1,5,True,13,0.007274,13297,5482
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.006509,16430,6295
MPivotQuicksort,1007,1,6,True,13,0.003178,15486,5978
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.043813,17507,6638
ClassicQuicksort,104,1,1,False,10,0.000912,675,402
ClassicQuicksort,104,1,1,True,17,0.000583,765,523
ClassicQuicksort,104,2,1,False,10,0.001012,672,389
ClassicQuicksort,104,2,1,True,17,0.000523,755,460
ClassicQuicksort,104,3,1,False,10,0.014750,669,416
ClassicQuicksort,104,3,1,True,17,0.000953,671,424
DualPivotQuicksort,104,1,2,False,10,0.001611,633,303
DualPivotQuicksort,104,1,2,True,17,0.000790,681,383
OptimalDualPivotQuicksort,104,1,2,False,10,0.110089,628,303
OptimalDualPivotQuicksort,104,1,2,True,17,0.000855,674,383
DualPivotQuicksort,104,2,2,False,10,0.004070,756,407
DualPivotQuicksort,104,2,2,True,17,0.297364,733,412
OptimalDualPivotQuicksort,104,2,2,False,10,0.005584,754,407
OptimalDualPivotQuicksort,104,2,2,True,17,0.000667,734,412
YaroslavskiyQuicksort,104,1,2,True,17,0.091730,795,402
ThreePivotQuicksort,104,1,3,True,13,0.010496,890,352
MPivotQuicksort,104,1,3,True,13,0.005054,818,445
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.001034,1013,540
MPivotQuicksort,104,1,4,True,13,0.000889,816,390
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.124130,1015,474
MPivotQuicksort,104,1,5,True,13,0.001936,989,483
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.001003,1022,484
MPivotQuicksort,104,1,6,True,13,0.002925,968,496
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000983,1090,522
ClassicQuicksort,11004838,1,1,False,10,35.791109,322656016,174021485
ClassicQuicksort,11004838,1,1,True,17,37.758479,330473223,183239400
ClassicQuicksort,11004838,2,1,False,10,41.348786,326160674,176001063
ClassicQuicksort,11004838,2,1,True,17,44.158857,333983064,180883611
ClassicQuicksort,11004838,3,1,False,10,31.223497,291707866,160574300
ClassicQuicksort,11004838,3,1,True,17,24.810259,294417147,163884990
DualPivotQuicksort,11004838,1,2,False,10,25.936082,317912819,117581153
DualPivotQuicksort,11004838,1,2,True,17,24.255217,321456332,124433076
OptimalDualPivotQuicksort,11004838,1,2,False,10,24.303124,309891925,117581153
OptimalDualPivotQuicksort,11004838,1,2,True,17,28.592756,313619619,124433076
DualPivotQuicksort,11004838,2,2,False,10,36.826268,291866637,113110156
DualPivotQuicksort,11004838,2,2,True,17,29.965054,288828823,113994186
OptimalDualPivotQuicksort,11004838,2,2,False,10,22.205009,286804136,113110156
OptimalDualPivotQuicksort,11004838,2,2,True,17,19.212378,283711451,113994186
YaroslavskiyQuicksort,11004838,1,2,True,17,22.759090,290445087,111969443
ThreePivotQuicksort,11004838,1,3,True,13,24.833336,418207011,116935723
MPivotQuicksort,11004838,1,3,True,13,32.680513,315931826,123211583
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,35.268725,441217361,176235254
MPivotQuicksort,11004838,1,4,True,13,18.629957,343756662,113836798
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,42.792605,432039857,157101224
MPivotQuicksort,11004838,1,5,True,13,19.235172,362331329,115042638
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,31.150058,446303116,149280593
MPivotQuicksort,11004838,1,6,True,13,19.259706,379290405,114626320
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,33.808558,459060136,145300534
ClassicQuicksort,1146260,1,1,False,10,3.743484,28966158,15225961
ClassicQuicksort,1146260,1,1,True,17,4.280161,29777829,16180666
ClassicQuicksort,1146260,2,1,False,10,4.787359,28571508,15210410
ClassicQuicksort,1146260,2,1,True,17,4.219204,29383863,15716545
ClassicQuicksort,1146260,3,1,False,10,3.676751,25782667,14047692
ClassicQuicksort,1146260,3,1,True,17,2.865027,26065812,14387273
DualPivotQuicksort,1146260,1,2,False,10,3.488118,28413209,9507946
DualPivotQuicksort,1146260,1,2,True,17,3.850940,28784505,10221538
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.844130,27604784,9507946
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.379901,27995159,10221538
DualPivotQuicksort,1146260,2,2,False,10,4.150899,25819575,10122722
DualPivotQuicksort,1146260,2,2,True,17,3.024967,25508037,10221476
OptimalDualPivotQuicksort,1146260,2,2,False,10,3.139473,25415221,10122722
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.990639,25097886,10221476
YaroslavskiyQuicksort,1146260,1,2,True,17,5.485783,26708114,9795305
ThreePivotQuicksort,1146260,1,3,True,13,2.600255,36662375,10253221
MPivotQuicksort,1146260,1,3,True,13,3.723860,28140487,11332087
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,6.285210,38146081,15764659
MPivotQuicksort,1146260,1,4,True,13,2.952098,30984927,10557066
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,6.486501,39765249,14794835
MPivotQuicksort,1146260,1,5,True,13,3.629707,33267782,10740696
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,7.090258,39565338,13588010
MPivotQuicksort,1146260,1,6,True,13,2.968352,33855887,10587655
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,6.718319,40909426,13238481
ClassicQuicksort,119394,1,1,False,10,0.271611,2462285,1159784
ClassicQuicksort,119394,1,1,True,17,0.238810,2546723,1259030
ClassicQuicksort,119394,2,1,False,10,0.286290,2364171,1290589
ClassicQuicksort,119394,2,1,True,17,0.278255,2448851,1343099
ClassicQuicksort,119394,3,1,False,10,0.262323,2184461,1194322
ClassicQuicksort,119394,3,1,True,17,0.238181,2213273,1229320
DualPivotQuicksort,119394,1,2,False,10,0.314864,2415986,859287
